1,Course Registration
2,Course Withdrawal
3,Course Schedule
4,Plan of Study
5,Thesis Dissertation
6,Grading
7,To Dos
8,Holds
9,Tutoring Services
10,Application Fee Processing
11,Application Support
12,Applicant evaluation
13,Admission Result Notification
14,Status Enquiry
15,Tuition Payment
16,Scholarship Application
17,Grant funds
18,Funding Requests
19,"Misc Fees (Lab Fees, Library fees etc)"
20,Payment Gateway
21,Student Loan
22,Tax Services
23,On Campus Housing
24,Off- Campus Housing
25,On campus dining
26,Off Campus Student Services
27,Health Services
28,Recreation Services
29,Student Clubs
30,Parking
31,Bike Co-Op
32,Cab Services
33,Metro Services
34,Campus Shuttle
35,Stadium
36,Gym
37,Auditorium
38,Classroom Services
39,Labs
40,Book Search
41,Journals Collaboration
42,Library Room Services
43,Book Reservation
44,Book Return
45,Email Services
46,Cloud Services
47,Technology Support Services
48,On-Campus Employment
49,Off-Campus Employment
50,Payroll Services
51,Career Events
52,Internships
53,International Students Career Support
54,Timesheets
